weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -1.951145842083111638e+05 4.194573103442691267e+06 1.197101326063738469e+02 1.041927965596176758e+13 8.833619090845540311e-02 4.931068434002390291e+02 1.790506327881338011e+00
0.000000000000000000e+00 -1.932949917622769135e+05 2.495028061455704272e+06 3.986775582338089663e+01 1.615305279893645703e+13 8.056023917687933633e-02 4.332093820994080033e+02 1.039810715700012622e+01
0.000000000000000000e+00 -1.932323912908966886e+05 3.253447318184013013e+06 2.573864327048562473e+02 1.045596114644155859e+13 7.510485088584019364e-02 4.830429330040391847e+02 9.210574183233152468e+00
0.000000000000000000e+00 -1.930956967003037280e+05 2.408647050381380599e+06 4.408742316430137862e+02 1.785986209826136328e+13 5.521027165675734122e-02 4.049688473356592340e+02 1.381924796609525385e+00
0.000000000000000000e+00 -1.930894890182633244e+05 3.479337923765865155e+06 2.835006135215435279e+02 1.892778795813590625e+13 5.541404869030105290e-02 4.073898432519467292e+02 1.609901504221422996e+01
0.000000000000000000e+00 -1.922183855697655526e+05 2.599751188115257770e+06 2.636868808874556862e+02 1.309193706576155859e+13 7.300640056431018099e-02 4.629207384613561658e+02 1.319929094683802440e+01
0.000000000000000000e+00 -1.911252027964228473e+05 1.504814588197726291e+06 3.752048633690137081e+02 9.572275776732769531e+12 8.522819499382593145e-02 4.227679966904302091e+02 1.400130989272746973e+01
0.000000000000000000e+00 -1.906648903528233059e+05 3.797843652577496134e+06 2.450829904972131885e+02 6.718645239014362305e+12 8.461304154647682207e-02 3.721090798690581209e+02 1.555039186903136361e+01
0.000000000000000000e+00 -1.906571322799300542e+05 1.960691862846782664e+06 2.428238202126500767e+02 1.941480929615631250e+13 6.830334988541407470e-02 2.778333162856530407e+02 1.250615421995361487e+01
0.000000000000000000e+00 -1.903687959762480750e+05 4.316348259479373693e+06 2.651739468964970001e+02 6.010598260643216797e+12 8.061787259981818832e-02 4.984158682216143177e+01 9.113099149918582498e+00
0.000000000000000000e+00 -1.899890139916562184e+05 4.581458129900809377e+06 2.990671349825016705e+02 5.628607696076926758e+12 6.542767371016554312e-02 4.417605452975884361e+01 1.656057453969171789e+01
0.000000000000000000e+00 -1.887306301157311245e+05 1.301382206339134835e+06 5.460504679657517357e+01 1.115618344376301172e+13 9.371577089383498205e-02 5.938147907056038832e+01 1.541181647840680924e+01
0.000000000000000000e+00 -1.882633098552737501e+05 4.604172210545176640e+06 9.713068318724928929e+01 1.919516474845741016e+13 7.094275159695119515e-02 4.080893897518595281e+01 1.337967961862425170e+01
0.000000000000000000e+00 -1.874614513791155186e+05 2.056068876634153537e+06 3.631206836664716775e+02 8.392659879413585938e+12 8.564753147113210452e-02 3.028273555199785960e+01 3.687077745349739200e+00
0.000000000000000000e+00 -1.864299659243308706e+05 3.089648655672947410e+06 2.651843301246411784e+02 9.757685624155589844e+12 7.751029782988462513e-02 2.364083455439503609e+02 1.332878642296921434e+01
0.000000000000000000e+00 -1.851917208263468056e+05 3.762406081287192646e+06 1.373962023243597912e+02 7.280481486552871094e+12 9.783269939018654493e-02 2.744901960225886910e+02 1.299588770446903752e+01
0.000000000000000000e+00 -1.842927559277068358e+05 1.547269046555578010e+06 3.867002166221199673e+02 1.397734530502125977e+13 7.369462877024787750e-02 9.550140621574557542e+01 1.110335576463760532e+01
0.000000000000000000e+00 -1.827766456397032598e+05 3.680474021291033365e+06 2.425536838591411879e+02 1.144272066675610547e+13 7.035024624822169836e-02 2.794449774018264065e+02 5.641649684034568679e+00
0.000000000000000000e+00 -1.823667239116067649e+05 2.021113664425971685e+06 4.207617704002725532e+02 6.673551529632020508e+12 8.687524775138689981e-02 3.971397058226643253e+02 1.638701388303864137e+00
0.000000000000000000e+00 -1.821733848161441274e+05 3.787826603016586974e+06 3.726910620359457766e+02 5.698835001497998047e+12 3.506414346895386780e-02 4.493881768760544446e+02 1.444948894105671933e+01
0.000000000000000000e+00 -1.819870376754527970e+05 3.735246912513371091e+06 3.908466175890273462e+02 1.223812526234673438e+13 1.874963952011996296e-02 3.710340017403192974e+02 8.411825910471257828e+00
0.000000000000000000e+00 -1.808207075462164648e+05 3.896644830742315855e+06 2.724281935434747197e+02 8.310558171126011719e+12 7.195438919493361840e-02 2.948919398116287880e+02 1.984794795700957071e+00
