rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.997938462577644736e+06 2.277889927870612041e+01 5.115686721948718750e+12 3.861089342324663942e-02 4.992349666987838646e+02 3.759360473315769280e+00
4.901485036191781983e+06 2.210969661087907667e+01 5.037485880818447266e+12 3.922913177183687955e-02 4.985758163177379743e+02 3.921883613380840128e+00
4.991517076530848630e+06 2.277083026598764093e+01 5.027556401148986328e+12 3.924854517200484366e-02 4.983027270780726212e+02 3.674142499185643285e+00
4.991717616782009602e+06 2.267756427839916000e+01 5.184713751336926758e+12 3.870199330976040186e-02 4.995592969548854967e+02 3.698558660880903126e+00
4.952826571162301116e+06 2.218833026511150308e+01 5.001019223698118164e+12 3.891008476949824046e-02 4.993447777667938681e+02 3.803135818992153361e+00
4.970705142575184815e+06 2.244645222855685773e+01 5.254347422977719727e+12 3.834077630559589583e-02 4.997291031472062741e+02 3.784977192808804514e+00
4.913818153347588144e+06 2.281652781706982580e+01 5.001360110027594727e+12 3.916116447794206618e-02 4.981040015918696326e+02 3.772393991987338158e+00
4.831670263605443761e+06 2.253481836403394567e+01 5.033225074248166992e+12 3.925415075299142076e-02 4.992799942273368856e+02 3.794215780697010931e+00
4.924288406282119453e+06 2.251676388570536957e+01 5.114934917775185547e+12 3.925935336628121053e-02 4.962479733393887500e+02 3.770667918842523836e+00
4.995186188019074500e+06 2.221707963996883706e+01 5.120837075701685547e+12 3.906016086052338521e-02 4.999783431689012900e+02 3.877607265431482819e+00
4.891483688544863835e+06 2.298980220358648197e+01 5.247152716653653320e+12 3.825166967573186833e-02 4.990660533133247441e+02 3.751798981332888694e+00
4.973839344133852050e+06 2.241601381824443706e+01 5.401906447050338867e+12 3.816011040763211265e-02 4.998704886827525229e+02 3.806225596033530945e+00
4.967742726842723787e+06 2.225140625674741557e+01 5.552332660439000000e+12 3.747671544190737947e-02 4.991358281381167785e+02 4.014314855022727002e+00
4.840456996458400972e+06 2.227214607277418423e+01 5.062160383230605469e+12 3.904067123056283867e-02 4.951009777083120866e+02 3.958999142872453803e+00
