weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -1.992274565274461638e+05 9.154718817908056305e-01 7.393581385738470235e-01 6.132023895236058397e-01 1.051603474400620852e-01 9.361536133235482948e-01 5.931938812990720233e-01
0.000000000000000000e+00 -1.988061452436509426e+05 8.765713606443532591e-01 6.859705486131317809e-02 5.457515172727144259e-01 8.630532599212318301e-01 8.934670046497924512e-01 8.595959349572418473e-01
0.000000000000000000e+00 -1.978227223587943881e+05 3.482949397038782591e-01 1.497182541671037148e-01 9.713163045772993387e-01 7.437680000129954783e-01 5.325798871815076163e-01 7.897594530268647883e-01
0.000000000000000000e+00 -1.967207594163329632e+05 7.512674171871789319e-01 3.590332397464027769e-01 5.713183194595427006e-01 7.550836640502677222e-01 3.272063202698911599e-01 4.830508269809686839e-01
0.000000000000000000e+00 -1.966983192789676250e+05 8.349868228540536785e-01 3.698597735806731235e-01 2.980760123631961411e-01 8.392232637713714638e-01 4.052011595701917601e-01 9.103332355688923405e-01
0.000000000000000000e+00 -1.960341156982402317e+05 3.056240871921234170e-02 2.707486789459279120e-02 5.701540478520660260e-01 8.702177499195208332e-01 8.957726772422757167e-01 8.047242189681198532e-01
0.000000000000000000e+00 -1.952962642377568118e+05 8.057569773790504986e-01 8.063037585413140862e-01 2.137297907289261722e-01 2.780147127011529662e-01 5.034247531581838020e-01 7.484815131155264645e-01
0.000000000000000000e+00 -1.951145842083111638e+05 7.986432758606729632e-01 2.493412104690314601e-01 3.612853103974511537e-01 8.821837465500544928e-01 9.859323334698755215e-01 4.160559620428094796e-02
0.000000000000000000e+00 -1.932949917622769135e+05 3.737570153639261372e-01 6.788126323495657921e-02 7.435368532624304638e-01 8.036387795644377441e-01 8.636926165294041002e-01 4.946372187894803041e-01
0.000000000000000000e+00 -1.932323912908966886e+05 5.633618295460032233e-01 5.622418925110368448e-01 3.637307430961038701e-01 7.485338473317191266e-01 9.653937408245697460e-01 4.321354833280606211e-01
0.000000000000000000e+00 -1.930956967003037280e+05 3.521617625953451514e-01 9.792596173704858353e-01 8.573241398840908412e-01 5.475785015834074843e-01 8.060588721135902857e-01 2.010130508471186239e-02
0.000000000000000000e+00 -1.930894890182633244e+05 6.198344809414663148e-01 6.215923034580534967e-01 9.285191972090603985e-01 5.496368554575863374e-01 8.109996801060137539e-01 7.946850022218016063e-01
0.000000000000000000e+00 -1.922183855697655526e+05 3.999377970288143791e-01 5.765610929260356343e-01 5.394624710507704979e-01 7.273373794374765611e-01 9.243280376762370576e-01 6.420679445704223776e-01
0.000000000000000000e+00 -1.911252027964228473e+05 1.262036470494315443e-01 8.300110531113947809e-01 3.048183851155179536e-01 8.507898484224841740e-01 8.423836667151637370e-01 6.842794680382878747e-01
0.000000000000000000e+00 -1.906648903528233059e+05 6.994609131443740857e-01 5.342795238573027072e-01 1.145763492676241668e-01 8.445761772371396248e-01 7.389981221817513157e-01 7.658100983700717457e-01
0.000000000000000000e+00 -1.906571322799300542e+05 2.401729657116956629e-01 5.291450459378410631e-01 9.609872864104206380e-01 6.798318170243845548e-01 5.465986046645980867e-01 6.055870642080849464e-01
0.000000000000000000e+00 -1.903687959762480750e+05 8.290870648698434042e-01 5.799407884011296144e-01 6.737321737621448925e-02 8.042209353516988068e-01 8.130936086155393649e-02 4.270052184167675291e-01
0.000000000000000000e+00 -1.899890139916562184e+05 8.953645324752022017e-01 6.569707613238674471e-01 4.190717973846180833e-02 6.507845829309650831e-01 6.974705006073234070e-02 8.189776073521957134e-01
0.000000000000000000e+00 -1.887306301157311245e+05 7.534555158478373205e-02 1.013751063558526733e-01 4.104122295842007606e-01 9.365229383215654124e-01 1.007785287154293608e-01 7.585166567582530828e-01
0.000000000000000000e+00 -1.882633098552737501e+05 9.010430526362941395e-01 1.980242799710211221e-01 9.463443165638273369e-01 7.064924403732443237e-01 6.287538566364481163e-02 6.515620851907500954e-01
0.000000000000000000e+00 -1.874614513791155186e+05 2.640172191585383743e-01 8.025470083328901660e-01 2.261773252942390622e-01 8.550255704154757774e-01 4.139333786122012526e-02 1.414251444920915368e-01
0.000000000000000000e+00 -1.864299659243308706e+05 5.224121639182368604e-01 5.799643866469118558e-01 3.171790416103726917e-01 7.728312912109557287e-01 4.620578480488782835e-01 6.488834959457481233e-01
0.000000000000000000e+00 -1.851917208263468056e+05 6.906015203217981124e-01 2.895368234644540850e-01 1.520320991035247760e-01 9.781080746483489241e-01 5.397759102501810125e-01 6.313625107615282728e-01
0.000000000000000000e+00 -1.842927559277068358e+05 1.368172616388945162e-01 8.561368559593635075e-01 5.984896870014173587e-01 7.342891794974532038e-01 1.744926657464195285e-01 5.317555665598739933e-01
0.000000000000000000e+00 -1.827766456397032598e+05 6.701185053227582955e-01 5.285310996798663341e-01 4.295147111170736220e-01 7.005075378608252024e-01 5.498877089833191789e-01 2.442973517912930825e-01
0.000000000000000000e+00 -1.823667239116067649e+05 2.552784161064929336e-01 9.335494781824376087e-01 1.115701019754680168e-01 8.674267449635040261e-01 7.900810322911516748e-01 3.361586254230863879e-02
0.000000000000000000e+00 -1.821733848161441274e+05 6.969566507541467004e-01 8.242978682635131449e-01 4.658900009986655100e-02 3.440822572621602404e-01 8.967105650531723704e-01 7.078678390029852219e-01
0.000000000000000000e+00 -1.819870376754527970e+05 6.838117281283427884e-01 8.655604945205166434e-01 4.825416841564490467e-01 1.792892880820198265e-01 7.368040851843250527e-01 3.900961005511188739e-01
0.000000000000000000e+00 -1.808207075462164648e+05 7.241612076855790114e-01 5.964277125988062256e-01 2.207038780750674167e-01 7.167110019690263734e-01 5.814121220645485089e-01 5.183130503689248325e-02
